127.0.0.1 - - [24/Jul/2018:10:23:21 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:21 -0500] "GET /Tuition/ HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:21 -0500] "GET /Tuition/resources/css/main.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:21 -0500] "GET /Tuition/resources/js/loginjs.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:22 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:25 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:51 -0500] "POST /Tuition/Register.do HTTP/1.1" 200 3560
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:23:52 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:05 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:21 -0500] "POST /Tuition/Register.do HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:21 -0500] "GET /Tuition/resources/js/dispemp.js HTTP/1.1" 200 11565
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:22 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:22 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:27 -0500] "GET /Tuition/ReimbursementPage.do HTTP/1.1" 200 3685
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:24:27 -0500] "GET /Tuition/resources/js/reimjs.js HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:25:20 -0500] "POST /Tuition/NewForm.do HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:25:21 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:25:22 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:25:36 -0500] "POST /Tuition/Upload.do HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:25:38 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:25:38 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 429
