127.0.0.1 - - [16/Aug/2018:14:03:13 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:14 -0500] "GET /TrackForce/ HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:14 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:17 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:28 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:28 -0500] "OPTIONS /TrackForce/trainers/60302 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:29 -0500] "GET /TrackForce/trainers/60302 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:34 -0500] "OPTIONS /TrackForce/associates/nass HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:34 -0500] "OPTIONS /TrackForce/associates/allAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:34 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:41 -0500] "GET /TrackForce/associates/nass HTTP/1.1" 200 77984
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:44 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:03:48 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 200 233784
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:05:59 -0500] "OPTIONS /TrackForce/associates/nass HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:05:59 -0500] "OPTIONS /TrackForce/associates/allAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:05:59 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:17 -0500] "GET /TrackForce/associates/nass HTTP/1.1" 200 77984
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:20 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:24 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 500 5569
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:30 -0500] "OPTIONS /TrackForce/batches/withindates/?start=1534446390457&end=1534446390457 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:30 -0500] "GET /TrackForce/batches/withindates/?start=1534446390457&end=1534446390457 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:30 -0500] "OPTIONS /TrackForce/associates/nass HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:30 -0500] "OPTIONS /TrackForce/associates/allAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:30 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:35 -0500] "GET /TrackForce/associates/nass HTTP/1.1" 200 77984
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:39 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:06:39 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 500 5569
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:07:44 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:07:55 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:07:55 -0500] "OPTIONS /TrackForce/trainers/60302 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:07:56 -0500] "GET /TrackForce/trainers/60302 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:08:41 -0500] "OPTIONS /TrackForce/associates/nass HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:08:41 -0500] "OPTIONS /TrackForce/associates/allAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:08:41 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:08:48 -0500] "GET /TrackForce/associates/nass HTTP/1.1" 200 77984
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:08:50 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:08:55 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 200 233784
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:01 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:01 -0500] "OPTIONS /TrackForce/associates/associates/5238 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:01 -0500] "GET /TrackForce/associates/associates/5238 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:01 -0500] "OPTIONS /TrackForce/interviews/5238 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:02 -0500] "GET /TrackForce/interviews/5238 HTTP/1.1" 403 2
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:09 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:17 -0500] "OPTIONS /TrackForce/associates/nass HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:17 -0500] "OPTIONS /TrackForce/associates/allAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:17 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:23 -0500] "GET /TrackForce/associates/nass HTTP/1.1" 200 77984
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:26 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:30 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 200 233784
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:32 -0500] "OPTIONS /TrackForce/associates/associates/5251 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:32 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:33 -0500] "GET /TrackForce/associates/associates/5251 HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:33 -0500] "OPTIONS /TrackForce/interviews/5251 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:33 -0500] "GET /TrackForce/interviews/5251 HTTP/1.1" 403 27806
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:09:40 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:23:08 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:23:21 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 193
